iter	Accuracy	Logloss
0	0.813799291	0.4634272949
1	0.8141056501	0.4586638127
2	0.8144557749	0.4583541313
3	0.8144557749	0.4581856497
4	0.8144557749	0.4581849601
5	0.8144557749	0.4581723571
6	0.8144557749	0.458172321
7	0.8144557749	0.458172321
8	0.8144557749	0.4581430732
9	0.8144557749	0.4581385012
10	0.8144557749	0.4581368777
11	0.8144557749	0.4581368769
12	0.8144557749	0.4581368654
13	0.8144557749	0.458136812
14	0.8144557749	0.458125335
15	0.8144557749	0.4581157678
16	0.8144557749	0.458108628
17	0.8144557749	0.4581055862
18	0.8144557749	0.4581038263
19	0.8144557749	0.4581026734
20	0.8144557749	0.4581018582
21	0.8144557749	0.4581012508
22	0.8144557749	0.4581007805
23	0.8144557749	0.4581004056
24	0.8144557749	0.4581000996
25	0.8144557749	0.4580998451
26	0.8144557749	0.4580996301
27	0.8144557749	0.4580994461
28	0.8144557749	0.4580992868
29	0.8144557749	0.4580992011
30	0.8144557749	0.4580992011
31	0.8144557749	0.4580992011
32	0.8144557749	0.4580992011
33	0.8144557749	0.4580992011
34	0.8144557749	0.4580992011
35	0.8144557749	0.4580992011
36	0.8144557749	0.4580992011
37	0.8144557749	0.4580992011
38	0.8144557749	0.4580992011
39	0.8144557749	0.4580992011
40	0.8144557749	0.4580992011
41	0.8144557749	0.4580992011
42	0.8144557749	0.4580992011
43	0.8144557749	0.4580992011
44	0.8144557749	0.4580992011
45	0.8144557749	0.4580992011
46	0.8144557749	0.4580992011
47	0.8144557749	0.4580992011
48	0.8144557749	0.4580992011
49	0.8144557749	0.4580992011
50	0.8144557749	0.4580992011
51	0.8144557749	0.4580992011
52	0.8144557749	0.4580992011
53	0.8144557749	0.4580992011
54	0.8144557749	0.4580992011
55	0.8144557749	0.4580992011
56	0.8144557749	0.4580992011
57	0.8144557749	0.4580992011
58	0.8144557749	0.4580992011
59	0.8144557749	0.4580992011
60	0.8144557749	0.4580992011
61	0.8144557749	0.4580992011
62	0.8144557749	0.4580992011
63	0.8144557749	0.4580992011
64	0.8144557749	0.4580992011
65	0.8144557749	0.4580992011
66	0.8144557749	0.4580992011
67	0.8144557749	0.4580992011
68	0.8144557749	0.4580992011
69	0.8144557749	0.4580992011
70	0.8144557749	0.4580992011
71	0.8144557749	0.4580992011
72	0.8144557749	0.4580992011
73	0.8144557749	0.4580992011
74	0.8144557749	0.4580992011
75	0.8144557749	0.4580992011
76	0.8144557749	0.4580992011
77	0.8144557749	0.4580992011
78	0.8144557749	0.4580992011
79	0.8144557749	0.4580992011
80	0.8144557749	0.4580992011
81	0.8144557749	0.4580992011
82	0.8144557749	0.4580992011
83	0.8144557749	0.4580992011
84	0.8144557749	0.4580992011
85	0.8144557749	0.4580992011
86	0.8144557749	0.4580992011
87	0.8144557749	0.4580992011
88	0.8144557749	0.4580992011
89	0.8144557749	0.4580992011
90	0.8144557749	0.4580992011
91	0.8144557749	0.4580992011
92	0.8144557749	0.4580992011
93	0.8144557749	0.4580992011
94	0.8144557749	0.4580992011
95	0.8144557749	0.4580992011
96	0.8144557749	0.4580992011
97	0.8144557749	0.4580992011
98	0.8144557749	0.4580992011
99	0.8144557749	0.4580992011
100	0.8144557749	0.4580992011
101	0.8144557749	0.4580992011
102	0.8144557749	0.4580992011
103	0.8144557749	0.4580992011
104	0.8144557749	0.4580992011
105	0.8144557749	0.4580992011
106	0.8144557749	0.4580992011
107	0.8144557749	0.4580992011
108	0.8144557749	0.4580992011
109	0.8144557749	0.4580992011
110	0.8144557749	0.4580992011
111	0.8144557749	0.4580992011
112	0.8144557749	0.4580992011
113	0.8144557749	0.4580992011
114	0.8144557749	0.4580992011
115	0.8144557749	0.4580992011
116	0.8144557749	0.4580992011
117	0.8144557749	0.4580992011
118	0.8144557749	0.4580992011
119	0.8144557749	0.4580992011
120	0.8144557749	0.4580992011
121	0.8144557749	0.4580992011
122	0.8144557749	0.4580992011
123	0.8144557749	0.4580992011
124	0.8144557749	0.4580992011
125	0.8144557749	0.4580992011
126	0.8144557749	0.4580992009
127	0.8144557749	0.4580991873
128	0.8144557749	0.4580991873
129	0.8144557749	0.4580991873
130	0.8144557749	0.4580991873
131	0.8144557749	0.4580991873
132	0.8144557749	0.4580991873
133	0.8144557749	0.4580991873
134	0.8144557749	0.4580991873
135	0.8144557749	0.4580991873
136	0.8144557749	0.4580991873
137	0.8144557749	0.4580991873
138	0.8144557749	0.4580991873
139	0.8144557749	0.4580991873
140	0.8144557749	0.4580991873
141	0.8144557749	0.4580991873
142	0.8144557749	0.4580991873
143	0.8144557749	0.4580991873
144	0.8144557749	0.4580991873
145	0.8144557749	0.4580991873
146	0.8144557749	0.4580991873
147	0.8144557749	0.4580991873
148	0.8144557749	0.4580991873
149	0.8144557749	0.4580991873
150	0.8144557749	0.4580991873
151	0.8144557749	0.4580991873
152	0.8144557749	0.4580991873
153	0.8144557749	0.4580991873
154	0.8144557749	0.4580991873
155	0.8144557749	0.4580991873
156	0.8144557749	0.4580991872
157	0.8144557749	0.4580991869
158	0.8144557749	0.4580991869
159	0.8144557749	0.4580991869
160	0.8144557749	0.4580991869
161	0.8144557749	0.4580991869
162	0.8144557749	0.4580991869
163	0.8144557749	0.4580991869
164	0.8144557749	0.4580991869
