iter	Passed	Remaining
0	20	6198
1	43	6457
2	61	6076
3	86	6406
4	104	6180
5	121	5945
6	128	5396
7	141	5169
8	160	5179
9	177	5146
10	192	5048
11	204	4913
12	212	4694
13	227	4647
14	246	4692
15	274	4869
16	324	5400
17	370	5809
18	408	6034
19	452	6334
20	505	6722
21	546	6900
22	583	7030
23	622	7164
24	656	7221
25	688	7259
26	723	7318
27	762	7406
28	798	7461
29	831	7483
30	855	7421
31	876	7341
32	904	7314
33	924	7229
34	943	7144
35	965	7083
36	989	7030
37	1012	6981
38	1028	6883
39	1045	6797
40	1066	6739
41	1088	6686
42	1115	6668
43	1136	6611
44	1170	6635
45	1200	6631
46	1225	6598
47	1247	6551
48	1271	6514
49	1297	6485
50	1315	6420
51	1337	6377
52	1360	6341
53	1379	6285
54	1403	6250
55	1423	6203
56	1449	6177
57	1468	6126
58	1489	6082
59	1509	6038
60	1536	6019
61	1560	5991
62	1579	5941
63	1608	5931
64	1631	5900
65	1655	5870
66	1674	5822
67	1696	5787
68	1717	5748
69	1734	5699
70	1752	5654
71	1778	5631
72	1814	5641
73	1834	5603
74	1857	5572
75	1884	5553
76	1903	5512
77	1924	5477
78	1941	5432
79	1970	5420
80	1989	5379
81	2009	5342
82	2029	5306
83	2055	5284
84	2073	5243
85	2093	5208
86	2113	5175
87	2140	5156
88	2159	5120
89	2180	5087
90	2199	5052
91	2224	5028
92	2247	5003
93	2276	4988
94	2299	4961
95	2321	4933
96	2347	4911
97	2369	4884
98	2388	4849
99	2417	4834
100	2437	4802
101	2457	4770
102	2485	4754
103	2507	4725
104	2532	4703
105	2558	4682
106	2580	4654
107	2607	4635
108	2631	4610
109	2657	4590
110	2681	4566
111	2700	4533
112	2725	4509
113	2749	4486
114	2778	4469
115	2812	4461
116	2830	4427
117	2848	4393
118	2867	4362
119	2890	4335
120	2918	4317
121	2941	4291
122	2959	4259
123	2977	4225
124	2995	4194
125	3020	4171
126	3028	4125
127	3055	4106
128	3078	4081
129	3105	4060
130	3124	4030
131	3155	4016
132	3174	3985
133	3191	3954
134	3213	3927
135	3235	3901
136	3261	3880
137	3283	3854
138	3302	3824
139	3330	3806
140	3349	3777
141	3370	3750
142	3392	3724
143	3416	3701
144	3438	3675
145	3467	3657
146	3491	3634
147	3510	3605
148	3530	3577
149	3556	3556
150	3593	3546
151	3620	3525
152	3649	3506
153	3682	3491
154	3706	3466
155	3737	3450
156	3750	3416
157	3775	3393
158	3798	3368
159	3825	3347
160	3844	3318
161	3874	3300
162	3897	3276
163	3919	3250
164	3939	3222
165	3965	3200
166	3984	3173
167	4000	3143
168	4023	3118
169	4051	3098
170	4072	3072
171	4096	3048
172	4122	3026
173	4142	3000
174	4163	2974
175	4195	2955
176	4218	2931
177	4249	2912
178	4280	2893
179	4304	2869
180	4334	2849
181	4368	2832
182	4391	2807
183	4415	2783
184	4443	2762
185	4465	2737
186	4494	2716
187	4519	2692
188	4546	2669
189	4568	2644
190	4599	2624
191	4623	2600
192	4655	2581
193	4678	2556
194	4713	2538
195	4745	2517
196	4769	2493
197	4796	2470
198	4817	2445
199	4847	2423
200	4870	2398
201	4891	2372
202	4913	2347
203	4940	2325
204	4963	2300
205	4991	2277
206	5012	2252
207	5035	2227
208	5068	2206
209	5102	2186
210	5125	2161
211	5154	2139
212	5190	2119
213	5213	2095
214	5243	2073
215	5266	2048
216	5294	2025
217	5316	1999
218	5337	1973
219	5356	1947
220	5374	1921
221	5403	1898
222	5425	1873
223	5451	1849
224	5474	1824
225	5503	1802
226	5526	1777
227	5556	1754
228	5582	1730
229	5609	1707
230	5633	1682
231	5655	1657
232	5683	1634
233	5703	1608
234	5723	1583
235	5756	1561
236	5775	1535
237	5804	1511
238	5823	1486
239	5844	1461
240	5862	1435
241	5893	1412
242	5915	1387
243	5941	1363
244	5960	1338
245	5978	1312
246	6001	1287
247	6027	1263
248	6051	1239
249	6083	1216
250	6117	1194
251	6142	1169
252	6175	1147
253	6207	1124
254	6225	1098
255	6255	1075
256	6277	1050
257	6296	1024
258	6321	1000
259	6342	975
260	6374	952
261	6398	928
262	6416	902
263	6444	878
264	6470	854
265	6500	830
266	6523	806
267	6548	781
268	6582	758
269	6603	733
270	6633	709
271	6651	684
272	6673	659
273	6695	635
274	6720	610
275	6740	586
276	6766	561
277	6791	537
278	6818	513
279	6838	488
280	6858	463
281	6884	439
282	6912	415
283	6936	390
284	6958	366
285	6978	341
286	6995	316
287	7027	292
288	7049	268
289	7081	244
290	7113	220
291	7133	195
292	7152	170
293	7178	146
294	7198	122
295	7231	97
296	7249	73
297	7273	48
298	7303	24
299	7326	0
